name,jurisdiction,scheduled_date,election_id,level,election_type,source
亀山市長選挙（2017年1月29日投票）結果,三重県,2017-01-29,elec_0,local,council,seijiyama.jp
尾鷲市議会議員選挙（2017年6月11日投票）結果,三重県,2017-06-11,elec_1,local,council,seijiyama.jp
伊勢市議会議員選挙（2017年10月29日投票）結果,三重県,2017-10-29,elec_2,local,council,seijiyama.jp
志摩市議会議員選挙（2017年10月22日投票）結果,三重県,2017-10-22,elec_3,local,council,seijiyama.jp
伊賀市議会議員選挙（2017年3月26日投票）結果,三重県,2017-03-26,elec_4,local,council,seijiyama.jp
大紀町議会議員選挙（2017年2月26日投票）結果,三重県,2017-02-26,elec_5,local,council,seijiyama.jp
松阪市議会議員選挙（2017年7月23日投票）結果,三重県,2017-07-23,elec_6,local,council,seijiyama.jp
鳥羽市長選挙（2017年4月16日投票）結果,三重県,2017-04-16,elec_7,local,council,seijiyama.jp
いなべ市議会議員選挙（2017年11月19日投票）結果,三重県,2017-11-19,elec_8,local,council,seijiyama.jp
熊野市長選挙（2017年10月22日投票）結果,三重県,2017-10-22,elec_9,local,council,seijiyama.jp
多気町長選挙（2018年1月28日投票）結果,三重県,2018-01-28,elec_10,local,council,seijiyama.jp
津市議会議員選挙（2018年1月28日投票）結果,三重県,2018-01-28,elec_11,local,council,seijiyama.jp
大台町長選挙（2018年1月28日投票）結果,三重県,2018-01-28,elec_12,local,council,seijiyama.jp
尾鷲市長選挙（2017年6月11日投票）結果,三重県,2017-06-11,elec_13,local,council,seijiyama.jp
木曽岬町長選挙（2017年4月23日投票）結果,三重県,2017-04-23,elec_14,local,council,seijiyama.jp
南伊勢町長選挙（2017年10月22日投票）結果,三重県,2017-10-22,elec_15,local,council,seijiyama.jp
紀北町長選挙（2017年10月22日投票）結果,三重県,2017-10-22,elec_16,local,council,seijiyama.jp
紀宝町長選挙（2018年1月28日投票）結果,三重県,2018-01-28,elec_17,local,council,seijiyama.jp
大紀町長選挙（2017年2月26日投票）結果,三重県,2017-02-26,elec_18,local,council,seijiyama.jp
伊勢市長選挙（2017年10月29日投票）結果,三重県,2017-10-29,elec_19,local,council,seijiyama.jp
与謝野町議会議員選挙（2018年4月8日投票）結果,京都府,2018-04-08,elec_20,local,council,seijiyama.jp
亀岡市議会議員選挙（2019年1月27日投票）結果,京都府,2019-01-27,elec_21,local,council,seijiyama.jp
精華町議会議員選挙（2017年5月14日投票）結果,京都府,2017-05-14,elec_22,local,council,seijiyama.jp
長岡京市議会議員選挙（2017年10月1日投票）結果,京都府,2017-10-01,elec_23,local,council,seijiyama.jp
長岡京市長選挙（2019年1月13日投票）結果,京都府,2019-01-13,elec_24,local,council,seijiyama.jp
京都府議会議員補欠選挙（宮津市及び与謝郡選挙区）（2017年11月19日投票）結果,京都府,2017-11-19,elec_25,local,council,seijiyama.jp
木津川市議会議員選挙（2019年4月21日投票）結果,京都府,2019-04-21,elec_26,local,council,seijiyama.jp
京丹波町長選挙（2017年11月5日投票）結果,京都府,2017-11-05,elec_27,local,council,seijiyama.jp
宇治田原町長選挙（2017年2月5日投票）結果,京都府,2017-02-05,elec_28,local,council,seijiyama.jp
