official_id,name,name_kana,age,faction,office_type,jurisdiction,promises_text,promises_url,blog_url,source,scraped_at
pol_0,三重県,,,,elected,三重県,Elected in 亀山市長選挙（2017年1月29日投票）結果,https://seijiyama.jp/area/card/3624/Hgyh77/M?S=lcqdt0qilc0k,,seijiyama.jp/elections,2025-10-28 11:54:06
pol_1,三鬼　和昭,,,,elected,三重県,Elected in 尾鷲市議会議員選挙（2017年6月11日投票）結果,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,,seijiyama.jp/elections,2025-10-28 11:54:25
pol_2,三鬼　孝之,,,,elected,三重県,Elected in 尾鷲市議会議員選挙（2017年6月11日投票）結果,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,,seijiyama.jp/elections,2025-10-28 11:54:25
pol_3,上岡　雄児,,,,elected,三重県,Elected in 尾鷲市議会議員選挙（2017年6月11日投票）結果,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,,seijiyama.jp/elections,2025-10-28 11:54:25
pol_4,上村　和生,,,,elected,三重県,Elected in 伊勢市議会議員選挙（2017年10月29日投票）結果,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,,seijiyama.jp/elections,2025-10-28 11:55:04
pol_5,上村　秀行,,,,elected,三重県,Elected in 志摩市議会議員選挙（2017年10月22日投票）結果,https://seijiyama.jp/area/card/3624/IKTDeG/M?S=lcqdt0repg0k,,seijiyama.jp/elections,2025-10-28 11:55:17
pol_6,上田　宗久,,,,elected,三重県,Elected in 伊賀市議会議員選挙（2017年3月26日投票）結果,https://seijiyama.jp/area/card/3624/ai8NIf/M?S=lcqdt0qjpe0k,,seijiyama.jp/elections,2025-10-28 11:54:17
pol_7,下市　晴之,,,,elected,三重県,Elected in 伊賀市議会議員選挙（2017年3月26日投票）結果,https://seijiyama.jp/area/card/3624/ai8NIf/M?S=lcqdt0qjpe0k,,seijiyama.jp/elections,2025-10-28 11:54:17
pol_8,下村　卓也,,,,elected,三重県,Elected in 志摩市議会議員選挙（2017年10月22日投票）結果,https://seijiyama.jp/area/card/3624/IKTDeG/M?S=lcqdt0repg0k,,seijiyama.jp/elections,2025-10-28 11:55:17
pol_9,世古　明,,,,elected,三重県,Elected in 伊勢市議会議員選挙（2017年10月29日投票）結果,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,,seijiyama.jp/elections,2025-10-28 11:55:04
