name,prefecture,election,election_date,source,source_url,scraped_at
三重県,三重県,亀山市長選挙（2017年1月29日投票）結果,2017-01-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/Hgyh77/M?S=lcqdt0qilc0k,2025-10-28 11:54:06
三鬼　和昭,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
三鬼　孝之,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
上岡　雄児,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
上村　和生,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
上村　秀行,三重県,志摩市議会議員選挙（2017年10月22日投票）結果,2017-10-22,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/IKTDeG/M?S=lcqdt0repg0k,2025-10-28 11:55:17
上田　宗久,三重県,伊賀市議会議員選挙（2017年3月26日投票）結果,2017-03-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/ai8NIf/M?S=lcqdt0qjpe0k,2025-10-28 11:54:17
下市　晴之,三重県,伊賀市議会議員選挙（2017年3月26日投票）結果,2017-03-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/ai8NIf/M?S=lcqdt0qjpe0k,2025-10-28 11:54:17
下村　卓也,三重県,志摩市議会議員選挙（2017年10月22日投票）結果,2017-10-22,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/IKTDeG/M?S=lcqdt0repg0k,2025-10-28 11:55:17
世古　明,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
世古口　新吾,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
中世古　弘,三重県,大紀町議会議員選挙（2017年2月26日投票）結果,2017-02-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/2GXVJH/M?S=lcqdt0qjmf0k,2025-10-28 11:54:21
中山　裕司,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
中山　貴生,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
中岡　久徳,三重県,伊賀市議会議員選挙（2017年3月26日投票）結果,2017-03-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/ai8NIf/M?S=lcqdt0qjpe0k,2025-10-28 11:54:17
中島　政直,三重県,松阪市議会議員選挙（2017年7月23日投票）結果,2017-07-23,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/b35e9C/M?S=lcqdt0rcrc0k,2025-10-28 11:55:08
中島　清晴,三重県,松阪市議会議員選挙（2017年7月23日投票）結果,2017-07-23,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/b35e9C/M?S=lcqdt0rcrc0k,2025-10-28 11:55:08
中平　隆夫,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
中村　功,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
中村　和晃,三重県,志摩市議会議員選挙（2017年10月22日投票）結果,2017-10-22,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/IKTDeG/M?S=lcqdt0repg0k,2025-10-28 11:55:17
中村　孝司,三重県,志摩市議会議員選挙（2017年10月22日投票）結果,2017-10-22,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/IKTDeG/M?S=lcqdt0repg0k,2025-10-28 11:55:17
中村　欣一郎,三重県,鳥羽市長選挙（2017年4月16日投票）結果,2017-04-16,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/CfPabC/M?S=lcqdt0qioj0k,2025-10-28 11:54:10
中村　正治,三重県,いなべ市議会議員選挙（2017年11月19日投票）結果,2017-11-19,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/i1M2ib/M?S=lcqdt0rfrc0k,2025-10-28 11:55:13
中村　良子,三重県,松阪市議会議員選挙（2017年7月23日投票）結果,2017-07-23,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/b35e9C/M?S=lcqdt0rcrc0k,2025-10-28 11:55:08
中村　誠,三重県,松阪市議会議員選挙（2017年7月23日投票）結果,2017-07-23,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/b35e9C/M?S=lcqdt0rcrc0k,2025-10-28 11:55:08
中田　征治,三重県,熊野市長選挙（2017年10月22日投票）結果,2017-10-22,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/bkXBbD/M?S=lcqdt0rfkg0k,2025-10-28 11:54:35
中谷　一彦,三重県,伊賀市議会議員選挙（2017年3月26日投票）結果,2017-03-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/ai8NIf/M?S=lcqdt0qjpe0k,2025-10-28 11:54:17
久保　真,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
久保　行央,三重県,多気町長選挙（2018年1月28日投票）結果,2018-01-28,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/dAXUj2/M?S=lcqdt0rgqc0k,2025-10-28 11:54:41
久松　倫生,三重県,松阪市議会議員選挙（2017年7月23日投票）結果,2017-07-23,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/b35e9C/M?S=lcqdt0rcrc0k,2025-10-28 11:55:08
井上　幹夫,三重県,志摩市議会議員選挙（2017年10月22日投票）結果,2017-10-22,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/IKTDeG/M?S=lcqdt0repg0k,2025-10-28 11:55:17
井村　貴志,三重県,伊勢市議会議員選挙（2017年10月29日投票）結果,2017-10-29,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/eh_EHG/M?S=lcqdt0rfph0k,2025-10-28 11:55:04
今村　英靖,三重県,松阪市議会議員選挙（2017年7月23日投票）結果,2017-07-23,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/b35e9C/M?S=lcqdt0rcrc0k,2025-10-28 11:55:08
仲　明,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
伊藤　康雄,三重県,津市議会議員選挙（2018年1月28日投票）結果,2018-01-28,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/B4EF4G/M?S=lcqdt0rgqb0k,2025-10-28 11:54:59
伊藤　智子,三重県,いなべ市議会議員選挙（2017年11月19日投票）結果,2017-11-19,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/i1M2ib/M?S=lcqdt0rfrc0k,2025-10-28 11:55:13
伊藤　衡基,三重県,大紀町議会議員選挙（2017年2月26日投票）結果,2017-02-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/2GXVJH/M?S=lcqdt0qjmf0k,2025-10-28 11:54:21
伊藤音楽教室主宰,三重県,いなべ市議会議員選挙（2017年11月19日投票）結果,2017-11-19,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/i1M2ib/M?S=lcqdt0rfrc0k,2025-10-28 11:55:13
会社取締役,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
位田　まさ子,三重県,いなべ市議会議員選挙（2017年11月19日投票）結果,2017-11-19,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/i1M2ib/M?S=lcqdt0rfrc0k,2025-10-28 11:55:13
佐藤　有毅,三重県,津市議会議員選挙（2018年1月28日投票）結果,2018-01-28,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/B4EF4G/M?S=lcqdt0rgqb0k,2025-10-28 11:54:59
信田　利樹,三重県,伊賀市議会議員選挙（2017年3月26日投票）結果,2017-03-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/ai8NIf/M?S=lcqdt0qjpe0k,2025-10-28 11:54:17
倉田　寛次,三重県,津市議会議員選挙（2018年1月28日投票）結果,2018-01-28,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/B4EF4G/M?S=lcqdt0rgqb0k,2025-10-28 11:54:59
元坂　明,三重県,大紀町議会議員選挙（2017年2月26日投票）結果,2017-02-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/2GXVJH/M?S=lcqdt0qjmf0k,2025-10-28 11:54:21
元坂　正人,三重県,大台町長選挙（2018年1月28日投票）結果,2018-01-28,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/30_mcI/M?S=lcqdt0rgtb0k,2025-10-28 11:54:45
公衆浴場業,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
内山　将文,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
内山　鉄芳,三重県,尾鷲市議会議員選挙（2017年6月11日投票）結果,2017-06-11,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/DF8aIG/M?S=lcqdt0rcka0k,2025-10-28 11:54:25
出口　真吾,三重県,大紀町議会議員選挙（2017年2月26日投票）結果,2017-02-26,seijiyama.jp/elections,https://seijiyama.jp/area/card/3624/2GXVJH/M?S=lcqdt0qjmf0k,2025-10-28 11:54:21
